2025-12-08 08:37:17 INFO: Starting scalper for BTCUSD M1 — 2025-12-08T08:37:17.893432
2025-12-08 08:39:01 INFO: PRICE NOW: 91606.13 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90632.76
2025-12-08 08:39:02 INFO: PRICE NOW: 91635.52 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.34
2025-12-08 08:39:03 INFO: PRICE NOW: 91642.35 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.48
2025-12-08 08:39:04 INFO: PRICE NOW: 91646.18 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.55
2025-12-08 08:39:05 INFO: PRICE NOW: 91645.17 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.53
2025-12-08 08:39:06 INFO: PRICE NOW: 91659.04 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.81
2025-12-08 08:39:07 INFO: PRICE NOW: 91677.02 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.17
2025-12-08 08:39:08 INFO: PRICE NOW: 91675.93 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.14
2025-12-08 08:39:09 INFO: PRICE NOW: 91668.29 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.99
2025-12-08 08:39:10 INFO: PRICE NOW: 91658.36 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.80
2025-12-08 08:39:11 INFO: PRICE NOW: 91656.11 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.75
2025-12-08 08:39:12 INFO: PRICE NOW: 91657.52 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.78
2025-12-08 08:39:13 INFO: PRICE NOW: 91657.10 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.77
2025-12-08 08:39:14 INFO: PRICE NOW: 91657.10 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.77
2025-12-08 08:39:15 INFO: PRICE NOW: 91664.01 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90633.91
2025-12-08 08:39:16 INFO: PRICE NOW: 91672.75 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.08
2025-12-08 08:39:17 INFO: PRICE NOW: 91685.11 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.33
2025-12-08 08:39:18 INFO: PRICE NOW: 91703.05 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.68
2025-12-08 08:39:19 INFO: PRICE NOW: 91703.05 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.68
2025-12-08 08:39:20 INFO: PRICE NOW: 91702.45 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.67
2025-12-08 08:39:21 INFO: PRICE NOW: 91702.45 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.67
2025-12-08 08:39:22 INFO: PRICE NOW: 91698.40 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.59
2025-12-08 08:39:23 INFO: PRICE NOW: 91669.05 | PRICE CLOSE: 91590.01 | SIGNAL: WAIT | TREND: UP | EMA-100: 90634.01
