2025-12-13 06:44:05 INFO: Starting scalper for BTCUSDm M1 — 2025-12-13T06:44:05.215565
2025-12-13 06:46:29 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:30 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:31 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:32 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:33 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:34 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:35 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:36 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:37 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:38 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:39 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:40 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:41 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:42 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:43 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:44 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:45 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:46 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:47 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:48 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:49 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:50 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:51 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:52 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:53 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:54 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:55 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:56 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:57 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:58 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:46:59 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:00 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:01 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:02 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:03 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:04 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:05 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:06 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:07 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:08 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:09 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:10 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:11 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:12 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:13 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:14 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:15 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:16 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:17 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:18 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:19 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:20 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:21 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:22 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:23 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:24 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:25 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:26 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:27 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:28 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:29 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:30 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:31 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:32 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:33 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:35 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:36 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:37 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
2025-12-13 06:47:38 INFO: TREND: WAIT | SMA CROSS: WAIT | RSI CROSS: WAIT | ADX CROSS: False
